subject,Jung,OpenJGraph,JGrapht,Grappa
4.002975273,0,0,0,0
4.003963873,0,0,0,0
4.004950902,0,0,0,0
4.005936366,0,0,0,0
4.00692027,0,0,0,0
4.007902618,0,0,0,0
4.008883415,0,0,0,0
4.009862666,0,0,0,0
4.010840377,0,0,0,0
4.011816551,0,0,0,0
4.012791195,0,0,0,0
4.013764311,0.21,0,0,0
4.014735907,0,0,0,0
4.015705985,0,0,0,0
4.016674551,0,0,0,0
4.017641609,0,0,0,0
4.018607165,0,0,0,0
4.019571222,0.21,0,0,0
4.020533786,0,0,0,0
4.021494861,0,0,0,0
4.022454452,0,0,0,0
4.023412563,0,0,0,0
4.024369199,0,0,0,0
4.025324365,0,0,0,0
4.026278064,0,0,0,0
4.027230301,0,0,0,0
4.028181082,0,0,0,0
4.02913041,0,0,0,0
4.030078289,0,0,0,0
4.031024725,0,0,0,0
4.031969721,0,0,0,0
4.032913283,0,0,0,0
4.033855413,0,0,0,0
4.034796117,0,0,0,0
4.035735399,0,0,0,0
4.036673263,0,0,0,0
4.037609714,0,0,0,0
4.038544756,0,0,0,0
4.039478392,0,0,0,0
4.040410628,0,0,0,0
4.041341467,0,0,0,0
